Fase,Tipo,#,Prompt,Scelta #1,Conseguenza #1,Scelta #2,Conseguenza #2,Scelta #3,Conseguenza #3,Info
Inizio,Regolare,1,"inizi a lavorare. Il tuo datore di lavoro ti propone una scelta.
puoi lavorare in regola con uno stipnedio fisso di 900 euro oppure in nero, senza contratto, per 1200 euro",In regola,900€,Nero,1.200€,,,
Inizio,Regolare,2,"Devi scegliere la tua casa. 
Se è vicino alla città dove lavori paghi di più, ma spendi meno in benzina per andare al lavoro.",30km,"Affitto: -400€
Benzina: -180€",0km,"Affitto: -700€
Benzina: 0€",,,Impostare slider tra i due
Inizio,Regolare,3,"Ogni sabato vai a fare la spesa settimanale. 
Scegli un discount, un supermercato vicino a casa o una catena con prodotti bio",Discount,-84€,Supermercato,-105€,Biologico,-140€,
Inizio,Preventiva,4,"ti chiama il tuo dentista per ricordarti l'appuntamento annuale per il controllo e l'ablazione del tartaro.
Confermi l'appuntamento o lo cancelli?",Si,-100€,No,0€,,,
Inizio,Regolare,5,"La scuola di tuo figlio organizza una uscita a teatro per tutti i bambini.
Il biglietto costa 8 euro. Lo mandi o lo tieni a casa?",Lo mandi,-8€,Non lo mandi,0€,,,
Inizio,Preventiva,6,"Trovi nella posta una lettera del tuo assicuratore: è scaduta la polizza RC auto.
Ti propone di pagarla in una due rate semestrali. Paghi o ignori la lettera?",Paghi,-400€,Non paghi,0€,,,
Inizio,Regolare,7,"torni a casa dal lavoro e ti accorgi dinun guasto alla tua vecchia lavatrice: non si accende più
la ripari anche se è vecchia, ne compri una nuova o decidi di appoggiarti alla lavatrice a gettone?",Cambi,-250€,Ripara,-150€,Gettoni,-7€,
Sviluppo,Regolare,8,"vicino a casa tua ha aperto una nuova palestra e offre una ottima promozione per i primi iscritti.
Ti iscrivi o per ora rinvii?",Iscriviti,-40€,Non ti iscrivi,0€,,,
Sviluppo,Regolare,9,"Arrivano le bollette delle utenze.
Se non le paghi ti verranno tolti luce e gas",Paghi,-150€,Non paghi,0€,,,
Sviluppo,Regolare,10,"Un compagno di scuola di tuo figlio organizza una piccola festa per il suo compleanno.
I compagni fanno un regalo collettivo: partecipi, fai un regalo per conto tuo o lo mandi senza?",Da solo,-5€,Con la classe,-8€,Senza,0€,
Sviluppo,Regolare,11,"sta arrivando il weekend e si prevede un sole magnifico. Avresti proprio voglia di passare un week end al mare con tuo figlio e alcuni amici
ti organizzi per la gita o lasci perdere?",Ci vai,-300€,Non ci vai,0€,,,
Sviluppo,Regolare,12,"Che guaio! mentre aprivi l'armadio per vestitrti questa mattina ti è rimasta un'anta dell'armadio in mano.
la togli e ne fai a meno, compri un armadio al negozio dell'usato o ne acquisti uno nuovo a rate?",Levi,0€,Usato,-70€,Rata Settimanale,-20€,
Sviluppo,Regolare,13,"Un tuo collega offre da bere a tutti. Ha vinto 1000 euro al gratta e vinci. Certo che una vincita risolverebbe molti problemi.
compri un gratta e vinci o lasci perdere?",Compri,-30€,Si,-5€,Si,-20€,????????????????????????????????????????????????????
Sviluppo,Sostuibile,14,"il tuo datore di lavoro ha una commessa di lavoro extra. 
ti propone di fare qualche ora in più  sabato pomeriggio. Accetti?",Si,30€,No,0€,,,
